fecha;mes;reclamo;titulo;situacion;area;barrio;cantidad_llamados_por_caso
04/02/2019;2;188;SEMAFORO;SEMASFORO FALTAN LAS LUCES;ELECTROMECANICA;VILLA SAN JOSE;1
04/02/2019;2;187;AGUA;ROTURA DE CAÑO ROTO EN LA CALLE;OBRAS Y SERVICIOS SANITARIOS;VILLA PROGRESO;1
04/02/2019;2;186;RESIDUOS;RESIDUOS DOMICILIARIO NO PASO EL CAMION;HIGIENE URBANA;;1
04/02/2019;2;185;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;VILLA GRAL. SAN MARTIN;1
04/02/2019;2;181;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;;2
04/02/2019;2;180;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;;1
04/02/2019;2;179;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;VILLA PROGRESO;1
04/02/2019;2;178;ANIMALES;ANIMALES SUELTOS: PERROS MORDEDORES O ATACNATES;VETERINARIA;;1
04/02/2019;2;177;AGUA;ROTURA DE CAÑO ROTO EN LA CALLE;OBRAS Y SERVICIOS SANITARIOS;DESIDERIO DE LA FUENTE;1
04/02/2019;2;176;RESIDUOS;RESIDUOS DOMICILIARIO NO PASO EL CAMION;HIGIENE URBANA;VILLA FERNANDEZ;1
04/02/2019;2;175;ARBOLADO;SOLICITAN DESPEJE;ESPACIOS VERDES;AEROCLUB;4
04/02/2019;2;174;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;CENTRO;1
04/02/2019;2;173;SINIESTRO;CABLES CAIDOS EN LA VIA PUBLICA;ATENCION AL VECINO 147;AMEGHINO;1
04/02/2019;2;172;RESIDUOS;RESIDUOS DOMICILIARIO NO PASO EL CAMION;HIGIENE URBANA;;1
04/02/2019;2;170;LIMPIEZA;SOLICITAN LIMPIEZA DE ALCANTARILLA O BOCA DE TORMENTA;OBRAS Y SERVICIOS SANITARIOS;JOSE HERNANDEZ;1
04/02/2019;2;169;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;;1
04/02/2019;2;168;URGENTE;CABALLOS O ANIMALES SUELTOS RADIO URBANO;ATENCION AL VECINO 147;VILLA SAN JOSE;1
04/02/2019;2;167;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;TROCHA;1
04/02/2019;2;166;VEREDA CON PASTO;VEREDA CON PASTO;CONTRALOR URBANO;VILLA PROGRESO;3
04/02/2019;2;165;URGENTE;CABALLOS O ANIMALES SUELTOS FUERA DEL RADIO URBANO;ATENCION AL VECINO 147;JOSE HERNANDEZ;1
04/02/2019;2;164;AGUA;ROTURA DE CAÑO ROTO EN LA CALLE;OBRAS Y SERVICIOS SANITARIOS;VILLA SAN JOSE;1
04/02/2019;2;163;DESMALEZAMIENTO;SOLICITAN DESMALEZAMIENTO EN ESPACIOS PUBLICOS;ESPACIOS VERDES;ACEVEDO;4
04/02/2019;2;161;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;LOS PINOS;1
04/02/2019;2;160;RESIDUOS;BASURAL CLANDESTINO;HIGIENE URBANA;AEROCLUB;1
04/02/2019;2;158;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;TROCHA;1
04/02/2019;2;157;TRANSITO;AUTOS MAL ESTACIONADOS (SALIDA DE GARAGE, CARGA Y DESCARGA, LUGAR DE MOTO, ETC);INSPECCION GENERAL Y TRANSITO;MARTIN ILLIA;1
04/02/2019;2;156;BACHE;ROTURA DE CORDON ZONA CENTRICA SOLICITA REPARACION;CUADRILLA 147 BACHES;AMEGHINO;4
04/02/2019;2;155;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;;1
04/02/2019;2;154;LIMPIEZA;SOLICITAN LIMPIEZA DE ALCANTARILLA O BOCA DE TORMENTA;OBRAS Y SERVICIOS SANITARIOS;CUETO;1
04/02/2019;2;153;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;VILLA PROGRESO;1
04/02/2019;2;152;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;VILLA SAN JOSE;1
04/02/2019;2;151;DESMALEZAMIENTO;SOLICITAN DESMALEZAMIENTO EN ESPACIOS PUBLICOS;ESPACIOS VERDES;CUETO;2
04/02/2019;2;149;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;;1
04/02/2019;2;148;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;AMEGHINO;1
04/02/2019;2;146;DESMALEZAMIENTO;SOLICITAN DESMALEZAMIENTO EN ESPACIOS PUBLICOS;ESPACIOS VERDES;;1
04/02/2019;2;145;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;VILLA SAN JOSE;1
04/02/2019;2;144;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;;1
04/02/2019;2;143;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;ACEVEDO;1
04/02/2019;2;142;AGUA;LLAVE DE PASO ROTA;CUADRILLA 147 AGUA;ACEVEDO;2
04/02/2019;2;140;PRESENCIA INSECTOS;PROLIFERACION DE AVISPAS, MOSCAS Y MOSQUITOS;SANEAMIENTO AMBIENTAL;VILLA SAN JOSE;1
04/02/2019;2;139;INSPECTOR URBANO;DERROCHE DE AGUA DE PILETAS;CONTRALOR URBANO;;1
04/02/2019;2;138;BACHE;SOLICITA LA REPARACION DE BACHES PEQUEÑOS;CUADRILLA 147 BACHES;BELGRANO;2
04/02/2019;2;137;BACHE;SOLICITA LA REPARACION DE BACHES PEQUEÑOS;CUADRILLA 147 BACHES;;2
04/02/2019;2;136;INSPECTOR URBANO;TERRENO BALDIO CON BASURA O MALEZAS;CONTRALOR URBANO;BELGRANO;1
04/02/2019;2;135;INSPECTOR URBANO;DENUNCIAN A VECINOS QUE SACAN BASURA FUERA DE HORARIO O EN LUGAR INADECUADO;CONTRALOR URBANO;;1
04/02/2019;2;134;ARBOLADO;ARBOL CAIDO EN LA VIA PUBLICA;ESPACIOS VERDES;25 DE MAYO;1
04/02/2019;2;133;DESMALEZAMIENTO;SOLICITAN DESMALEZAMIENTO EN ESPACIOS PUBLICOS;ESPACIOS VERDES;;1
04/02/2019;2;132;RESIDUOS;RESIDUOS DOMICILIARIO PASO EL CAMION Y NO LLEVO LA BASURA;HIGIENE URBANA;;1
04/02/2019;2;131;AGUA;ROTURA DE CAÑO ROTO EN LA CALLE;OBRAS Y SERVICIOS SANITARIOS;;1
04/02/2019;2;130;RESIDUOS;RESIDUOS VOLUMINOSOS: RESTOS VERDES;HIGIENE URBANA;VILLA PROGRESO;1
04/02/2019;2;129;CORRALON;SOLICITA NIVELACIO Y ESCOREA;VIAL;24 DE SEPTIEMBRE;1
04/02/2019;2;128;CORRALON;SOLICITA NIVELACIO Y ESCOREA;VIAL;JOSE HERNANDEZ;1
04/02/2019;2;127;SEMAFORO;SEMASFORO MAL FUNCIONAMIENTO DEL PASO;ELECTROMECANICA;;1
04/02/2019;2;126;INSPECTOR URBANO;ESTAN QUEMANDO BASAURA EN LA VIA PUBLICA;CONTRALOR URBANO;VILLA SAN JOSE;2
